clusNum,repre
0,"(40.5232716666667, 22.9779066666667)"
1,"(40.6315016666667, 22.9434366666667)"
2,"(40.6389233333333, 22.9388233333333)"
3,"(40.64211833333329, 22.9321)"
4,"(40.65364833333329, 22.9021066666667)"
5,"(40.5882983333333, 22.9609416666667)"
6,"(40.5392033333333, 22.9907933333333)"
7,"(40.5571583333333, 22.9919983333333)"
8,"(40.5837, 22.964525)"
9,"(40.26848833333329, 23.22678)"
10,"(40.5232966666667, 22.9787166666667)"
11,"(40.6349716666667, 22.942665)"
12,"(40.523685, 22.97737)"
13,"(40.5234433333333, 22.97768)"
14,"(40.5611483333333, 22.6048883333333)"
15,"(40.54773166666671, 22.98388)"
16,"(40.52342, 22.9789383333333)"
17,"(40.5233283333333, 22.977825)"
18,"(40.6363166666667, 22.9433666666667)"
19,"(40.26848833333329, 23.22678)"
20,"(40.6535416666667, 22.95782)"
21,"(40.64387666666671, 22.9289183333333)"
22,"(40.5232716666667, 22.9786733333333)"
23,"(40.5234033333333, 22.9777316666667)"
24,"(40.5108483333333, 23.8228466666667)"
25,"(40.523435, 22.97769)"
26,"(40.54855999999999, 22.9844716666667)"
27,"(40.5260183333333, 22.9899066666667)"
28,"(40.6079683333333, 22.9663633333333)"
29,"(40.53079833333329, 22.9907633333333)"
30,"(40.602045, 22.9643116666667)"
31,"(40.616055, 22.9737816666667)"
32,"(40.5239066666667, 22.9770883333333)"
33,"(40.50783, 22.9239633333333)"
34,"(40.5089883333333, 22.9246083333333)"
35,"(40.5097733333333, 22.9286466666667)"
36,"(40.5249633333333, 22.97709)"
37,"(40.5296166666667, 22.995175)"
38,"(40.5234933333333, 22.9776166666667)"
39,"(40.5476116666667, 22.9844016666667)"
40,"(40.6156, 22.9750383333333)"
41,"(40.6553683333333, 22.88746)"
42,"(40.6528533333333, 22.8361216666667)"
43,"(40.637555, 22.9409516666667)"
44,"(40.5066183333333, 22.9277433333333)"
45,"(40.5117866666667, 22.9368783333333)"
46,"(40.51787, 22.9473)"
47,"(40.5523366666667, 22.981425)"
48,"(40.54841, 22.986755)"
49,"(40.556595, 23.0125016666667)"
50,"(40.53437833333329, 23.0377933333333)"
51,"(40.6305433333333, 23.0428)"
52,"(40.5442316666667, 23.0497366666667)"
53,"(40.499795, 23.82066)"
54,"(40.6513933333333, 22.941455)"
55,"(40.6311383333333, 22.9429366666667)"
56,"(40.6510033333333, 22.927635)"
57,"(40.5234316666667, 22.9776933333333)"
58,"(40.5890533333333, 22.95951)"
59,"(40.592155, 22.9645816666667)"
60,"(40.582285, 22.98702)"
61,"(40.56044, 23.013415)"
62,"(40.5251433333333, 23.0491916666667)"
63,"(40.5572383333333, 22.99201)"
64,"(40.6532433333333, 22.9494683333333)"
65,"(40.47839333333329, 22.958905)"
66,"(40.64475, 22.9310366666667)"
67,"(40.6536183333333, 22.9018483333333)"
68,"(40.6458316666667, 22.92494)"
69,"(40.611025, 22.9558233333333)"
70,"(40.6114633333333, 22.96324)"
71,"(40.601505, 22.989665)"
72,"(40.5939983333333, 23.01536)"
73,"(40.62999, 23.044955)"
74,"(40.63034833333329, 22.9526383333333)"
75,"(40.6680683333333, 22.9144)"
76,"(40.68843333333329, 22.8478983333333)"
77,"(40.64834, 22.8790733333333)"
78,"(40.6438416666667, 22.9096)"
79,"(40.6410866666667, 22.9322966666667)"
80,"(40.6280133333333, 22.949855)"
81,"(40.62841833333329, 22.9602116666667)"
82,"(40.63485, 22.9725083333333)"
83,"(40.6411116666667, 23.0231183333333)"
84,"(40.6296833333333, 23.0447283333333)"
85,"(40.6298183333333, 23.0442483333333)"
86,"(40.62987, 23.044075)"
87,"(40.65676666666671, 23.1381816666667)"
88,"(40.6124766666667, 22.96112)"
89,"(40.6172983333333, 22.9645766666667)"
90,"(40.52345, 22.9776716666667)"
91,"(40.60926666666671, 22.979805)"
92,"(40.67175, 22.8086816666667)"
93,"(40.711045, 22.7576233333333)"
94,"(40.6339516666667, 22.9447883333333)"
95,"(40.6475516666667, 22.9064783333333)"
96,"(40.711045, 22.7576233333333)"
97,"(40.65776, 22.8803783333333)"
98,"(40.6605183333333, 22.9012883333333)"
99,"(40.6526283333333, 22.9263583333333)"
100,"(40.652815, 22.9398216666667)"
101,"(40.6559883333333, 22.9616)"
102,"(40.657845, 22.998675)"
103,"(40.6845316666667, 23.0733483333333)"
104,"(40.63007833333329, 22.96039)"
105,"(40.55731, 22.99202)"
106,"(40.6124066666667, 22.9791983333333)"
107,"(40.602105, 22.9798433333333)"
108,"(40.5239866666667, 22.9776783333333)"
109,"(40.677105, 23.5888716666667)"
110,"(40.684925, 23.6209466666667)"
111,"(40.684925, 23.6209466666667)"
112,"(40.6537533333333, 22.92301)"
113,"(40.6415166666667, 22.916205)"
114,"(40.6891183333333, 22.85481)"
115,"(40.678455, 22.8696233333333)"
116,"(40.6677016666667, 22.89464)"
117,"(40.66777, 22.8946283333333)"
118,"(40.680105, 22.9250883333333)"
119,"(40.67877, 22.9336216666667)"
120,"(40.67462, 22.962635)"
121,"(40.67661, 22.96148)"
122,"(40.67546, 22.9615783333333)"
123,"(40.7466233333333, 23.071965)"
124,"(40.67213833333329, 22.9616683333333)"
125,"(40.71867833333329, 23.68954)"
126,"(40.7599733333333, 23.749645)"
127,"(40.7839683333333, 22.3999333333333)"
